avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
6.2,56.0,46%,43%, 88246220,264218220
7.4,83.0,90%,86%, 4569019,4569019
6.7,67.0,80%,79%, 81057016,182057016
5.9,,42%,27%, 2193982,2193982
5.7,49.0,42%,40%, 136189294,320689294
5.7,,18%,44%, 11829959,11829959
6.1,48.0,50%,42%, 339379,339379
5.8,,38%,45%, 1055525,1060264
6.1,,32%,35%, 8797839,8797839
4.7,,0%,19%, 2042530,2042530
7.3,80.0,96%,84%, 12008376,12008376
4.4,1.0,4%,51%, 13427615,13427615
7.1,72.0,80%,81%, 124060553,185260553
6.0,,61%,35%, 1094668,1094668
5.4,,44%,44%, 4357406,4357406
7.0,66.0,85%,80%, 560069,560069
7.3,61.0,88%,82%, 3802260,3802260
6.0,61.0,89%,70%, 70770147,150270147
5.8,30.0,8%,44%, 21576954,22611954
6.1,56.0,54%,51%, 60240295,102825796
5.0,15.0,13%,39%, 3325651,3325651
5.7,,18%,27%, 21226204,60209334
6.0,45.0,33%,15%, 14551359,22540359
7.0,64.0,81%,74%, 285112,285112
6.2,,56%,37%, 20340204,20340204
5.5,,24%,36%, 548561,548561
6.3,,55%,65%, 24819936,24819936
6.4,47.0,74%,88%, 2664812,2664812
4.7,,12%,40%, 17917287,17917287
6.8,,68%,66%, 7343114,7343114
5.9,,17%,57%, 49620,49620
